Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1666667,0.0616883,0.9383117,0.8333333,0.2083333,0.1666667,0.6299513,0.1153938
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,undersampling,best first,no cost sensitive,0.2205882,0.0194004,0.9805996,0.7794118,0.7317073,0.2205882,0.7185458,0.2739078
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1571429,0.0133111,0.9866889,0.8428571,0.7333333,0.1571429,0.7788448,0.2058688
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1186441,0.0113798,0.9886202,0.8813559,0.4666667,0.1186441,0.8054705,0.1629133
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,undersampling,best first,no cost sensitive,0.6592593,0.7205128,0.2794872,0.3407407,0.2405405,0.6592593,0.4733048,-0.0390377
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,undersampling,best first,no cost sensitive,0.0816327,0.0395137,0.9604863,0.9183673,0.5517241,0.0816327,0.5607282,0.0508819
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,undersampling,best first,no cost sensitive,0.6666667,0.2483766,0.7516234,0.3333333,0.2072539,0.6666667,0.7184253,0.2091054
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,undersampling,best first,no cost sensitive,0.5441176,0.3015873,0.6984127,0.4558824,0.3020408,0.5441176,0.6287154,0.1859018
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,undersampling,best first,no cost sensitive,0.6000000,0.2096506,0.7903494,0.4000000,0.4000000,0.6000000,0.7236213,0.3275393
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,undersampling,best first,no cost sensitive,0.5593220,0.2233286,0.7766714,0.4406780,0.1736842,0.5593220,0.6383417,0.1665810
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,smote,best first,no cost sensitive,0.5629630,0.6358974,0.3641026,0.4370370,0.2345679,0.5629630,0.5892118,-0.0500342
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,smote,best first,no cost sensitive,0.0357143,0.0121581,0.9878419,0.9642857,0.6363636,0.0357143,0.4873224,0.0291099
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,smote,best first,no cost sensitive,0.5500000,0.2824675,0.7175325,0.4500000,0.1594203,0.5500000,0.7002570,0.1270527
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,smote,best first,no cost sensitive,0.4338235,0.1499118,0.8500882,0.5661765,0.4097222,0.4338235,0.7326032,0.2777031
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,smote,best first,no cost sensitive,0.5214286,0.0831947,0.9168053,0.4785714,0.5934959,0.5214286,0.8101200,0.4596399
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,smote,best first,no cost sensitive,0.3559322,0.1422475,0.8577525,0.6440678,0.1735537,0.3559322,0.7125877,0.1442522
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,smote,best first,no cost sensitive,0.2370370,0.0410256,0.9589744,0.7629630,0.6666667,0.2370370,0.7513580,0.2483306
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,smote,best first,no cost sensitive,0.0459184,0.0000000,1.0000000,0.9540816,1.0000000,0.0459184,0.6358166,0.0568892
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,smote,best first,no cost sensitive,0.1500000,0.0470779,0.9529221,0.8500000,0.2368421,0.1500000,0.6337256,0.1233303
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,smote,best first,no cost sensitive,0.2058824,0.0088183,0.9911817,0.7941176,0.8484848,0.2058824,0.7179233,0.2767160
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,smote,best first,no cost sensitive,0.1642857,0.0133111,0.9866889,0.8357143,0.7419355,0.1642857,0.7855360,0.2152485
